,id,artist,title,album,popularity,artist_ids,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,1lYmMZLBWTHPybgmK00OR1,SwizZz,More to Say,More to Say,16,3nSjdp5h4cbbTOn59qKKHR,0.492,0.644,7,-7.405,1,0.56,0.0348,0.0,0.123,0.425,173.44,255451,4
1,5MC3xdlx9DFop1Y4J1yDbE,Eagles,"New Kid in Town - Live at Capital Centre, Landover, MD, 3/21-22/1977; 2017 Remaster",Hotel California (40th Anniversary Expanded Edition),30,0ECwFtbIWEVNwjlrfc6xoL,0.559,0.654,4,-7.977,1,0.0312,0.126,0.000159,0.979,0.623,110.164,292733,4
2,7GZKme55JpmLq3alBDQm11,All Time Low,Dirty Laundry,Last Young Renegade,54,46gyXjRIvN1NL1eCB8GBxo,0.56,0.751,4,-6.022,0,0.0364,0.00168,5.22e-05,0.168,0.177,93.969,197640,4
3,4d2ETTRKavzvVAdo98g1T9,J.PERIOD,Thought vs. Hot 97 Freestyle - J.PERIOD Live Remix,The Live Mixtape [Top 5 MC’s Edition],11,"1MGyQRNDBHqVYkW1nNKRBv, 6DJEUXZm0e2rAohdoZ5Voo, 35mEzAsFbM7OOTzFyjTgeU",0.623,0.928,8,-7.647,0,0.314,0.511,1.74e-06,0.709,0.589,97.357,276292,4
4,0V9A00lULZ9ZzNslRXbvIZ,Rhys Langston,Jesus of Los Feliz,Aggressively Ethnically Ambiguous,0,"3TQniQ8z5QYYsAjrWrl72E, 5SIczlZdCyA9JdQsszygHB",0.829,0.666,5,-8.417,0,0.11,0.736,0.0173,0.133,0.584,119.096,132270,4
5,33lnnwmQTugerQGWS3c7F5,Abney Park,I am Stretched On Your Grave,Lost Horizons,19,0Wv385aRvyuQLODQLsT8Zl,0.63,0.723,5,-8.662,0,0.0662,0.354,0.000129,0.0665,0.94,160.068,271813,4
6,0O1f1x7Qqhke0XLPn8mCxB,Curren$y,Nothin Less (feat. YBN Cordae),Gran Turismo,35,"6X8WdFjrNhXATMDSs26aCc, 5v0XTlB9FqNvfBfnw8n5b0, 0huGjMyP507tBCARyzSkrv",0.623,0.906,1,-6.849,1,0.325,0.0744,0.0,0.205,0.491,81.789,184390,4
7,065NTzD2rx3TZYJ0uQ5Lar,Paxquiao,Plans for Ya,Dodgin the Raindrops,11,1YhthHHCDrrokQ3xsYImWd,0.66,0.487,4,-10.392,0,0.229,0.108,0.0,0.102,0.618,122.965,210456,4
8,3BAfgelh52It55sAeNEp7z,MDC,Multi Death Corporation,Now More Then Ever,12,5JQSncL9xdFUl0FrdYMWV0,0.237,0.947,4,-10.236,1,0.0985,2.69e-05,0.111,0.167,0.289,117.786,111307,4
9,7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,Jocelyn Flores,17,87,15UsOTVnJzReFVN1VCnxy4,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,119133,4
10,5aEs15psrWKJ1oIBKlWy6U,JOHNNASCUS,Lost Futures (untitled_0013) [,(Untitled_0007-0020&0001),9,1Kvu06TxgDMSFkoYQEj6Rv,0.462,0.664,4,-8.272,1,0.121,0.312,0.102,0.365,0.19,118.556,206000,4
